Apartments	NNS	O	~	~
vs	CC	O	~	~
dormitories	NNS	O	~	~
at	IN	O	~	~
university	NN	O	~	~
Many	JJ	O	~	~
students	NNS	B-MajorClaim	0	~
prefer	VBP	I-MajorClaim	0	~
to	TO	I-MajorClaim	0	~
live	VB	I-MajorClaim	0	~
in	IN	I-MajorClaim	0	~
the	DT	I-MajorClaim	0	~
university	NN	I-MajorClaim	0	~
dormitories	NNS	I-MajorClaim	0	~
while	IN	I-MajorClaim	0	~
others	NNS	I-MajorClaim	0	~
prefer	VBP	I-MajorClaim	0	~
an	DT	I-MajorClaim	0	~
apartment	NN	O	~	~
in	IN	O	~	~
the	DT	O	~	~
city	NN	O	~	~
.	.	O	~	~
Both	DT	O	~	~
options	NNS	O	~	~
have	VBP	O	~	~
their	PRP$	O	~	~
advantages	NNS	O	~	~
and	CC	O	~	~
disadvantages	NNS	O	~	~
.	.	O	~	~
After	IN	O	~	~
considering	VBG	B-Claim	1	~
the	DT	I-Claim	1	~
level	NN	O	~	~
of	IN	O	~	~
freedom	NN	O	~	~
,	,	O	~	~
the	DT	B-Claim	2	~
studying	VBG	I-Claim	2	~
conditions	NNS	I-Claim	2	~
and	CC	I-Claim	2	~
the	DT	I-Claim	2	~
economic	JJ	I-Claim	2	~
factor	NN	I-Claim	2	~
,	,	O	~	~
if	IN	O	~	~
I	PRP	O	~	~
had	VBD	O	~	~
to	TO	O	~	~
choose	VB	O	~	~
,	,	O	~	~
I	PRP	B-MajorClaim	3	~
would	MD	I-MajorClaim	3	~
prefer	VB	I-MajorClaim	3	~
to	TO	I-MajorClaim	3	~
live	VB	I-MajorClaim	3	~
in	IN	I-MajorClaim	3	~
an	DT	I-MajorClaim	3	~
apartment	NN	I-MajorClaim	3	~
in	IN	I-MajorClaim	3	~
the	DT	I-MajorClaim	3	~
community	NN	I-MajorClaim	3	~
rather	RB	I-MajorClaim	3	~
than	IN	I-MajorClaim	3	~
in	IN	I-MajorClaim	3	~
the	DT	I-MajorClaim	3	~
university	NN	I-MajorClaim	3	~
dormitories	NNS	I-MajorClaim	3	~
.	.	O	~	~
First	RB	O	~	~
,	,	O	~	~
an	DT	B-Claim	4	For:~
apartment	NN	I-Claim	4	For:~
provides	VBZ	I-Claim	4	For:~
a	DT	I-Claim	4	For:~
lot	NN	I-Claim	4	For:~
more	RBR	I-Claim	4	For:~
freedom	NN	I-Claim	4	For:~
than	IN	I-Claim	4	For:~
a	DT	I-Claim	4	For:~
dormitory	NN	I-Claim	4	For:~
.	.	O	~	~
While	IN	B-Premise	5	supports:4
in	IN	I-Premise	5	supports:4
a	DT	I-Premise	5	supports:4
dormitory	NN	I-Premise	5	supports:4
you	PRP	I-Premise	5	supports:4
have	VBP	I-Premise	5	supports:4
to	TO	I-Premise	5	supports:4
obey	VB	I-Premise	5	supports:4
preset	JJ	I-Premise	5	supports:4
rules	NNS	I-Premise	5	supports:4
,	,	I-Premise	5	supports:4
in	IN	I-Premise	5	supports:4
the	DT	I-Premise	5	supports:4
apartment	NN	I-Premise	5	supports:4
you	PRP	I-Premise	5	supports:4
set	VBP	I-Premise	5	supports:4
your	PRP$	I-Premise	5	supports:4
own	JJ	I-Premise	5	supports:4
rules	NNS	I-Premise	5	supports:4
.	.	O	~	~
You	PRP	B-Premise	6	supports:4
are	VBP	I-Premise	6	supports:4
free	JJ	I-Premise	6	supports:4
to	TO	I-Premise	6	supports:4
have	VB	I-Premise	6	supports:4
visits	NNS	I-Premise	6	supports:4
at	IN	I-Premise	6	supports:4
any	DT	I-Premise	6	supports:4
time	NN	I-Premise	6	supports:4
