Public	NNP	B-Premise	0	~
transportation	NN	I-Premise	0	~
keeps	VBZ	I-Premise	0	~
society	NN	I-Premise	0	~
from	IN	I-Premise	0	~
the	DT	I-Premise	0	~
depletion	NN	I-Premise	0	~
of	IN	I-Premise	0	~
natural	JJ	I-Premise	0	~
resources	NNS	I-Premise	0	~
The	DT	I-Premise	0	~
development	NN	I-Premise	0	~
of	IN	I-Premise	0	~
public	JJ	I-Premise	0	~
transportation	NN	I-Premise	0	~
is	VBZ	I-Premise	0	~
the	DT	I-Premise	0	~
most	RBS	I-Premise	0	~
essential	JJ	I-Premise	0	~
thing	NN	I-Premise	0	~
for	IN	I-Premise	0	~
a	DT	I-Premise	0	~
developed	JJ	I-Premise	0	~
society	NN	I-Premise	0	~
.	.	O	~	~
Public	NNP	B-Premise	1	For:~
transportation	NN	I-Premise	1	For:~
keeps	VBZ	I-Premise	1	For:~
society	NN	I-Premise	1	For:~
from	IN	I-Premise	1	For:~
the	DT	I-Premise	1	For:~
depletion	NN	I-Premise	1	For:~
of	IN	I-Premise	1	For:~
natural	JJ	I-Premise	1	For:~
resources	NNS	I-Premise	1	For:~
,	,	I-Premise	1	For:~
the	DT	I-Premise	1	For:~
air	NN	I-Premise	1	For:~
pollution	NN	I-Premise	1	For:~
,	,	I-Premise	1	For:~
the	DT	I-Premise	1	For:~
loss	NN	I-Premise	1	For:~
of	IN	I-Premise	1	For:~
a	DT	I-Premise	1	For:~
sense	NN	I-Premise	1	For:~
of	IN	I-Premise	1	For:~
community	NN	I-Premise	1	For:~
.	.	O	~	~
So	RB	O	~	~
,	,	O	~	~
I	PRP	O	~	~
think	VBP	O	~	~
the	DT	B-Claim	2	~
government	NN	I-Claim	2	~
have	VBP	I-Claim	2	~
to	TO	I-Claim	2	~
spend	VB	I-Claim	2	~
more	JJR	I-Claim	2	~
money	NN	I-Claim	2	~
on	IN	I-Claim	2	~
improving	VBG	I-Claim	2	~
it	PRP	I-Claim	2	~
.	.	O	~	~
The	DT	B-Premise	3	For:~
use	NN	I-Premise	3	For:~
of	IN	I-Premise	3	For:~
public	JJ	I-Premise	3	For:~
transportation	NN	I-Premise	3	For:~
is	VBZ	I-Premise	3	For:~
the	DT	I-Premise	3	For:~
best	JJS	I-Premise	3	For:~
way	NN	I-Premise	3	For:~
to	TO	I-Premise	3	For:~
conserve	VB	I-Premise	3	For:~
natural	JJ	I-Premise	3	For:~
resources	NNS	I-Premise	3	For:~
gradually	RB	I-Premise	3	For:~
run	VBP	I-Premise	3	For:~
out	RP	I-Premise	3	For:~
.	.	O	~	~
Cars	NNS	B-Premise	4	supports:3
depend	VBP	I-Premise	4	supports:3
on	IN	I-Premise	4	supports:3
oil	NN	I-Premise	4	supports:3
and	CC	I-Premise	4	supports:3
gasoline	NN	I-Premise	4	supports:3
to	TO	I-Premise	4	supports:3
move	VB	I-Premise	4	supports:3
