# paragraph 0
# sent
Some	DT	O	~	~
people	NNS	O	~	~
think	VBP	O	~	~
that	IN	O	~	~
human	JJ	O	~	~
needs	NNS	O	~	~
for	IN	O	~	~
farmland	NN	O	~	~
,	,	O	~	~
housing	NN	O	~	~
and	CC	O	~	~
industry	NN	O	~	~
are	VBP	O	~	~
more	RBR	O	~	~
# paragraph 1
# sent
Nowadays	RB	O	~	~
there	EX	O	~	~
are	VBP	O	~	~
some	DT	O	~	~
issues	NNS	O	~	~
which	WDT	O	~	~
many	JJ	O	~	~
countries	NNS	O	~	~
and	CC	O	~	~
nations	NNS	O	~	~
are	VBP	O	~	~
concern	NN	O	~	~
about	IN	O	~	~
that	DT	O	~	~
.	.	O	~	~
# sent
Two	CD	O	~	~
of	IN	O	~	~
the	DT	O	~	~
most	RBS	O	~	~
important	JJ	O	~	~
of	IN	O	~	~
them	PRP	O	~	~
are	VBP	O	~	~
rate	NN	O	~	~
of	IN	O	~	~
increasing	VBG	O	~	~
population	NN	O	~	~
and	CC	O	~	~
endangered	VBN	O	~	~
plants	NNS	O	~	~
and	CC	O	~	~
animals	NNS	O	~	~
.	.	O	~	~
# sent
From	IN	O	~	~
my	PRP$	O	~	~
point	NN	O	~	~
of	IN	O	~	~
view	NN	O	~	~
although	IN	O	~	~
endangered	JJ	B-Claim	0	For:~
animals	NNS	I-Claim	0	For:~
are	VBP	I-Claim	0	For:~
important	JJ	I-Claim	0	For:~
,	,	O	~	~
human	JJ	B-MajorClaim	1	~
needs	NNS	I-MajorClaim	1	~
should	MD	I-MajorClaim	1	~
be	VB	I-MajorClaim	1	~
considered	VBN	I-MajorClaim	1	~
more	RBR	I-MajorClaim	1	~
.	.	O	~	~
# paragraph 2
# sent
Firstly	RB	O	~	~
,	,	O	~	~
day	NN	B-Premise	2	supports:3
by	IN	I-Premise	2	supports:3
day	NN	I-Premise	2	supports:3
population	NN	I-Premise	2	supports:3
is	VBZ	I-Premise	2	supports:3
increasing	VBG	I-Premise	2	supports:3
,	,	O	~	~
so	RB	O	~	~
human	JJ	B-Premise	3	supports:5
needs	NNS	I-Premise	3	supports:5
for	IN	I-Premise	3	supports:5
food	NN	I-Premise	3	supports:5
is	VBZ	I-Premise	3	supports:5
increasing	VBG	I-Premise	3	supports:5
as	RB	I-Premise	3	supports:5
well	RB	I-Premise	3	supports:5
.	.	O	~	~
# sent
We	PRP	B-Premise	4	supports:5
need	VBP	I-Premise	4	supports:5
farmland	NN	I-Premise	4	supports:5
to	TO	I-Premise	4	supports:5
grow	VB	I-Premise	4	supports:5
crops	NNS	I-Premise	4	supports:5
such	JJ	I-Premise	4	supports:5
as	IN	I-Premise	4	supports:5
wheat	NN	I-Premise	4	supports:5
and	CC	I-Premise	4	supports:5
corn	NN	I-Premise	4	supports:5
,	,	I-Premise	4	supports:5
and	CC	I-Premise	4	supports:5
there	EX	I-Premise	4	supports:5
is	VBZ	I-Premise	4	supports:5
no	DT	I-Premise	4	supports:5
doubt	NN	I-Premise	4	supports:5
that	WDT	I-Premise	4	supports:5
without	IN	I-Premise	4	supports:5
food	NN	I-Premise	4	supports:5
people	NNS	I-Premise	4	supports:5
can	MD	I-Premise	4	supports:5
not	RB	I-Premise	4	supports:5
alive	JJ	I-Premise	4	supports:5
for	IN	I-Premise	4	supports:5
more	JJR	I-Premise	4	supports:5
than	IN	I-Premise	4	supports:5
some	DT	I-Premise	4	supports:5
weeks	NNS	I-Premise	4	supports:5
.	.	O	~	~
# sent
Therefore	RB	O	~	~
,	,	O	~	~
farmlands	NNS	B-Claim	5	For:~
are	VBP	I-Claim	5	For:~
vital	JJ	I-Claim	5	For:~
for	IN	I-Claim	5	For:~
human	JJ	I-Claim	5	For:~
life	NN	I-Claim	5	For:~
.	.	O	~	~
# paragraph 3
# sent
Secondly	RB	O	~	~
,	,	O	~	~
people	NNS	B-Premise	6	supports:7
need	VBP	I-Premise	6	supports:7
shelters	NNS	I-Premise	6	supports:7
to	TO	I-Premise	6	supports:7
protect	VB	I-Premise	6	supports:7
themselves	PRP	I-Premise	6	supports:7
from	IN	I-Premise	6	supports:7
mother	NN	I-Premise	6	supports:7
nature	NN	I-Premise	6	supports:7
such	JJ	I-Premise	6	supports:7
as	IN	I-Premise	6	supports:7
wind	NN	I-Premise	6	supports:7
and	CC	I-Premise	6	supports:7
flood	NN	I-Premise	6	supports:7
and	CC	I-Premise	6	supports:7
wild	JJ	I-Premise	6	supports:7
animals	NNS	I-Premise	6	supports:7
,	,	O	~	~
so	IN	O	~	~
they	PRP	B-Claim	7	For:~
need	VBP	I-Claim	7	For:~
land	NN	I-Claim	7	For:~
to	TO	I-Claim	7	For:~
build	VB	I-Claim	7	For:~
their	PRP$	I-Claim	7	For:~
houses	NNS	I-Claim	7	For:~
on	IN	I-Claim	7	For:~
it	PRP	I-Claim	7	For:~
.	.	O	~	~
# sent
Dwelling	NN	B-Premise	8	supports:7
is	VBZ	I-Premise	8	supports:7
one	CD	I-Premise	8	supports:7
of	IN	I-Premise	8	supports:7
the	DT	I-Premise	8	supports:7
most	RBS	I-Premise	8	supports:7
important	JJ	I-Premise	8	supports:7
