# paragraph 0
# sent
Which	WDT	O	~	~
is	VBZ	O	~	~
better	RBR	O	~	~
-	:	O	~	~
Learning	NNP	O	~	~
foreign	JJ	O	~	~
language	NN	O	~	~
in	IN	O	~	~
home	NN	O	~	~
or	CC	O	~	~
host	NN	O	~	~
country	NN	O	~	~
?	.	O	~	~
# paragraph 1
# sent
Our	PRP$	O	~	~
World	NNP	O	~	~
has	VBZ	O	~	~
varied	VBN	O	~	~
cultures	NNS	O	~	~
and	CC	O	~	~
each	DT	O	~	~
culture	NN	O	~	~
has	VBZ	O	~	~
its	PRP$	O	~	~
own	JJ	O	~	~
language	NN	O	~	~
.	.	O	~	~
# sent
It	PRP	O	~	~
has	VBZ	O	~	~
become	VBN	O	~	~
essential	JJ	O	~	~
for	IN	O	~	~
a	DT	O	~	~
person	NN	O	~	~
to	TO	O	~	~
learn	VB	O	~	~
at	IN	O	~	~
least	JJS	O	~	~
one	CD	O	~	~
foreign	JJ	O	~	~
language	NN	O	~	~
as	IN	O	~	~
one	CD	O	~	~
do	VBP	O	~	~
interacts	VBZ	O	~	~
with	IN	O	~	~
foreigners	NNS	O	~	~
once	RB	O	~	~
in	IN	O	~	~
a	DT	O	~	~
lifetime	NN	O	~	~
and	CC	O	~	~
learning	VBG	O	~	~
a	DT	O	~	~
foreign	JJ	O	~	~
langauge	NN	O	~	~
adds	VBZ	O	~	~
on	IN	O	~	~
to	TO	O	~	~
a	DT	O	~	~
person	NN	O	~	~
skill-set	NN	O	~	~
as	RB	O	~	~
well	RB	O	~	~
.	.	O	~	~
# sent
Also	RB	O	~	~
,	,	O	~	~
I	PRP	O	~	~
think	VBP	O	~	~
its	PRP$	B-MajorClaim	0	~
better	JJR	I-MajorClaim	0	~
that	IN	I-MajorClaim	0	~
people	NNS	I-MajorClaim	0	~
learn	VBP	I-MajorClaim	0	~
foreign	JJ	I-MajorClaim	0	~
language	NN	I-MajorClaim	0	~
in	IN	I-MajorClaim	0	~
their	PRP$	I-MajorClaim	0	~
own	JJ	I-MajorClaim	0	~
country	NN	I-MajorClaim	0	~
.	.	O	~	~
# sent
The	DT	O	~	~
reasons	NNS	O	~	~
for	IN	O	~	~
holding	VBG	O	~	~
that	DT	O	~	~
opinion	NN	O	~	~
are	VBP	O	~	~
illustrated	VBN	O	~	~
in	IN	O	~	~
