# paragraph 0
# sent
School	NNP	O	~	~
memories	NNS	O	~	~
# paragraph 1
# sent
Everyone	NN	O	~	~
has	VBZ	O	~	~
happy	JJ	O	~	~
moments	NNS	O	~	~
during	IN	O	~	~
their	PRP$	O	~	~
life	NN	O	~	~
.	.	O	~	~
# sent
These	DT	O	~	~
happy	JJ	O	~	~
moments	NNS	O	~	~
are	VBP	O	~	~
both	CC	O	~	~
in	IN	O	~	~
their	PRP$	O	~	~
childhood	NN	O	~	~
and	CC	O	~	~
their	PRP$	O	~	~
adulthood	NN	O	~	~
.	.	O	~	~
# sent
In	IN	O	~	~
my	PRP$	O	~	~
opinion	NN	O	~	~
,	,	O	~	~
childhood	NN	B-MajorClaim	0	~
is	VBZ	I-MajorClaim	0	~
the	DT	I-MajorClaim	0	~
happiest	JJS	I-MajorClaim	0	~
time	NN	I-MajorClaim	0	~
of	IN	I-MajorClaim	0	~
a	DT	I-MajorClaim	0	~
person	NN	I-MajorClaim	0	~
's	POS	I-MajorClaim	0	~
life	NN	I-MajorClaim	0	~
.	.	O	~	~
# paragraph 2
# sent
First	RB	O	~	~
,	,	O	~	~
in	IN	B-Claim	1	For:~
childhood	NN	I-Claim	1	For:~
most	JJS	I-Claim	1	For:~
people	NNS	I-Claim	1	For:~
are	VBP	I-Claim	1	For:~
happier	JJR	I-Claim	1	For:~
than	IN	I-Claim	1	For:~
in	IN	I-Claim	1	For:~
adulthood	NN	I-Claim	1	For:~
.	.	O	~	~
# sent
They	PRP	B-Premise	2	supports:1
do	VBP	I-Premise	2	supports:1
not	RB	I-Premise	2	supports:1
have	VB	I-Premise	2	supports:1
to	TO	I-Premise	2	supports:1
worry	VB	I-Premise	2	supports:1
about	IN	I-Premise	2	supports:1
bills	NNS	I-Premise	2	supports:1
,	,	I-Premise	2	supports:1
jobs	NNS	I-Premise	2	supports:1
,	,	I-Premise	2	supports:1
how	WRB	I-Premise	2	supports:1
would	MD	I-Premise	2	supports:1
their	PRP$	I-Premise	2	supports:1
life	NN	I-Premise	2	supports:1
be	VB	I-Premise	2	supports:1
in	IN	I-Premise	2	supports:1
the	DT	I-Premise	2	supports:1
future	NN	I-Premise	2	supports:1
.	.	O	~	~
# sent
They	PRP	B-Premise	3	supports:1
just	RB	I-Premise	3	supports:1
worry	VBP	I-Premise	3	supports:1
about	IN	I-Premise	3	supports:1
two	CD	I-Premise	3	supports:1
things	NNS	I-Premise	3	supports:1
:	:	I-Premise	3	supports:1
to	TO	I-Premise	3	supports:1
have	VB	I-Premise	3	supports:1
fun	NN	I-Premise	3	supports:1
,	,	I-Premise	3	supports:1
learn	VBP	I-Premise	3	supports:1
and	CC	I-Premise	3	supports:1
be	VB	I-Premise	3	supports:1
happy	JJ	I-Premise	3	supports:1
.	.	O	~	~
# sent
A	DT	B-Premise	4	supports:2
child	NN	I-Premise	4	supports:2
's	POS	I-Premise	4	supports:2
daily	JJ	I-Premise	4	supports:2
life	NN	I-Premise	4	supports:2
is	VBZ	I-Premise	4	supports:2
school	NN	I-Premise	4	supports:2
,	,	I-Premise	4	supports:2
playing	VBG	I-Premise	4	supports:2
and	CC	I-Premise	4	supports:2
sleeping	VBG	I-Premise	4	supports:2
.	.	O	~	~
# sent
For	IN	O	~	~
example	NN	O	~	~
,	,	O	~	~
when	WRB	B-Premise	5	supports:1
I	PRP	I-Premise	5	supports:1
was	VBD	I-Premise	5	supports:1
young	JJ	I-Premise	5	supports:1
I	PRP	I-Premise	5	supports:1
just	RB	I-Premise	5	supports:1
came	VBD	I-Premise	5	supports:1
home	NN	I-Premise	5	supports:1
from	IN	I-Premise	5	supports:1
school	NN	I-Premise	5	supports:1
and	CC	I-Premise	5	supports:1
then	RB	I-Premise	5	supports:1
I	PRP	I-Premise	5	supports:1
would	MD	I-Premise	5	supports:1
took	VBD	I-Premise	5	supports:1
my	PRP$	I-Premise	5	supports:1
