# paragraph 0
# sent
Easy	NNP	O	~	~
preparation	NN	O	~	~
of	IN	O	~	~
food	NN	O	~	~
leads	VBZ	O	~	~
to	TO	O	~	~
a	DT	O	~	~
better	JJR	O	~	~
life	NN	O	~	~
# paragraph 1
# sent
The	DT	O	~	~
Technology	NN	O	~	~
has	VBZ	O	~	~
developed	VBN	O	~	~
a	DT	O	~	~
lot	NN	O	~	~
.	.	O	~	~
# sent
With	IN	O	~	~
that	DT	O	~	~
development	NN	O	~	~
,	,	O	~	~
food	NN	O	~	~
can	MD	O	~	~
be	VB	O	~	~
prepared	VBN	O	~	~
more	RBR	O	~	~
easily	RB	O	~	~
and	CC	O	~	~
it	PRP	O	~	~
can	MD	O	~	~
taste	VB	O	~	~
a	DT	O	~	~
lot	NN	O	~	~
better	JJR	O	~	~
than	IN	O	~	~
it	PRP	O	~	~
used	VBD	O	~	~
to	TO	O	~	~
.	.	O	~	~
# sent
With	IN	O	~	~
that	DT	O	~	~
change	NN	O	~	~
,	,	O	~	~
people	NNS	O	~	~
's	POS	O	~	~
lives	NNS	O	~	~
are	VBP	O	~	~
a	DT	O	~	~
lot	NN	O	~	~
better	JJR	O	~	~
for	IN	O	~	~
several	JJ	O	~	~
reasons	NNS	O	~	~
.	.	O	~	~
# sent
Some	DT	O	~	~
good	JJ	O	~	~
reasons	NNS	O	~	~
are	VBP	O	~	~
about	IN	O	~	~
having	VBG	O	~	~
more	JJR	O	~	~
time	NN	O	~	~
and	CC	O	~	~
being	VBG	O	~	~
able	JJ	O	~	~
to	TO	O	~	~
prepare	VB	O	~	~
better	JJR	O	~	~
food	NN	O	~	~
without	IN	O	~	~
being	VBG	O	~	~
a	DT	O	~	~
good	JJ	O	~	~
cook	NN	O	~	~
.	.	O	~	~
# paragraph 2
# sent
Firstly	RB	O	~	~
,	,	O	~	~
people	NNS	B-Premise	0	supports:1
normally	RB	I-Premise	0	supports:1
have	VBP	I-Premise	0	supports:1
lots	NNS	I-Premise	0	supports:1
of	IN	I-Premise	0	supports:1
things	NNS	I-Premise	0	supports:1
to	TO	I-Premise	0	supports:1
do	VB	I-Premise	0	supports:1
.	.	O	~	~
# sent
Because	IN	O	~	~
of	IN	O	~	~
that	DT	O	~	~
,	,	O	~	~
they	PRP	B-Premise	1	supports:2
do	VBP	I-Premise	1	supports:2
n't	RB	I-Premise	1	supports:2
have	VB	I-Premise	1	supports:2
much	JJ	I-Premise	1	supports:2
time	NN	I-Premise	1	supports:2
to	TO	I-Premise	1	supports:2
spend	VB	I-Premise	1	supports:2
in	IN	I-Premise	1	supports:2
the	DT	I-Premise	1	supports:2
kitchen	NN	I-Premise	1	supports:2
.	.	O	~	~
# sent
But	CC	O	~	~
being	VBG	B-Claim	2	For:~
able	JJ	I-Claim	2	For:~
to	TO	I-Claim	2	For:~
prepare	VB	I-Claim	2	For:~
a	DT	I-Claim	2	For:~
tasty	JJ	I-Claim	2	For:~
food	NN	I-Claim	2	For:~
just	RB	I-Claim	2	For:~
putting	VBG	I-Claim	2	For:~
it	PRP	I-Claim	2	For:~
into	IN	I-Claim	2	For:~
the	DT	I-Claim	2	For:~
microwave	NN	I-Claim	2	For:~
or	CC	I-Claim	2	For:~
into	IN	I-Claim	2	For:~
the	DT	I-Claim	2	For:~
oven	NN	I-Claim	2	For:~
is	VBZ	I-Claim	2	For:~
awesome	JJ	I-Claim	2	For:~
.	.	O	~	~
# sent
For	IN	O	~	~
example	NN	O	~	~
,	,	O	~	~
if	IN	B-Premise	3	supports:2
an	DT	I-Premise	3	supports:2
engineer	NN	I-Premise	3	supports:2
needs	VBZ	I-Premise	3	supports:2
to	TO	I-Premise	3	supports:2
make	VB	I-Premise	3	supports:2
a	DT	I-Premise	3	supports:2
project	NN	I-Premise	3	supports:2
,	,	I-Premise	3	supports:2
but	CC	I-Premise	3	supports:2
he	PRP	I-Premise	3	supports:2
needs	VBZ	I-Premise	3	supports:2
to	TO	I-Premise	3	supports:2
deliver	VB	I-Premise	3	supports:2
it	PRP	I-Premise	3	supports:2
tomorrow	NN	I-Premise	3	supports:2
,	,	I-Premise	3	supports:2
he	PRP	I-Premise	3	supports:2
could	MD	I-Premise	3	supports:2
save	VB	I-Premise	3	supports:2
hours	NNS	I-Premise	3	supports:2
preparing	VBG	I-Premise	3	supports:2
