# paragraph 0
# sent
New	NNP	O	~	~
high	JJ	O	~	~
school	NN	O	~	~
# paragraph 1
# sent
Although	IN	O	~	~
some	DT	O	~	~
of	IN	O	~	~
my	PRP$	O	~	~
neighbors	NNS	O	~	~
will	MD	O	~	~
oppose	VB	O	~	~
this	DT	O	~	~
idea	NN	O	~	~
,	,	O	~	~
personally	RB	O	~	~
I	PRP	O	~	~
approve	VBP	O	~	~
it	PRP	O	~	~
.	.	O	~	~
# sent
The	DT	B-MajorClaim	0	~
new	JJ	I-MajorClaim	0	~
high	JJ	I-MajorClaim	0	~
school	NN	I-MajorClaim	0	~
will	MD	I-MajorClaim	0	~
bring	VB	I-MajorClaim	0	~
a	DT	I-MajorClaim	0	~
lot	NN	I-MajorClaim	0	~
of	IN	I-MajorClaim	0	~
advantages	NNS	I-MajorClaim	0	~
to	TO	I-MajorClaim	0	~
my	PRP$	I-MajorClaim	0	~
community	NN	I-MajorClaim	0	~
.	.	O	~	~
# sent
The	DT	B-Claim	1	For:~
high	JJ	I-Claim	1	For:~
school	NN	I-Claim	1	For:~
of	IN	I-Claim	1	For:~
my	PRP$	I-Claim	1	For:~
district	NN	I-Claim	1	For:~
is	VBZ	I-Claim	1	For:~
pretty	RB	I-Claim	1	For:~
old	JJ	I-Claim	1	For:~
and	CC	I-Claim	1	For:~
lacks	VBZ	I-Claim	1	For:~
in	IN	I-Claim	1	For:~
necessities	NNS	I-Claim	1	For:~
for	IN	I-Claim	1	For:~
students	NNS	I-Claim	1	For:~
,	,	I-Claim	1	For:~
so	IN	I-Claim	1	For:~
they	PRP	I-Claim	1	For:~
ca	MD	I-Claim	1	For:~
n't	RB	I-Claim	1	For:~
get	VB	I-Claim	1	For:~
enough	RB	I-Claim	1	For:~
education	NN	I-Claim	1	For:~
.	.	O	~	~
# sent
I	PRP	O	~	~
really	RB	O	~	~
believe	VBP	O	~	~
that	IN	O	~	~
new	JJ	B-MajorClaim	2	~
high	JJ	I-MajorClaim	2	~
school	NN	I-MajorClaim	2	~
is	VBZ	I-MajorClaim	2	~
a	DT	I-MajorClaim	2	~
great	JJ	I-MajorClaim	2	~
addition	NN	I-MajorClaim	2	~
to	TO	I-MajorClaim	2	~
the	DT	I-MajorClaim	2	~
educational	JJ	I-MajorClaim	2	~
system	NN	I-MajorClaim	2	~
of	IN	I-MajorClaim	2	~
my	PRP$	I-MajorClaim	2	~
community	NN	I-MajorClaim	2	~
.	.	O	~	~
# paragraph 2
# sent
Firstly	RB	O	~	~
,	,	O	~	~
I	PRP	O	~	~
think	VBP	O	~	~
that	IN	O	~	~
the	DT	O	~	~
new	JJ	I-Claim	3	For:~
high	JJ	I-Claim	3	For:~
school	NN	I-Claim	3	For:~
will	MD	I-Claim	3	For:~
bring	VB	I-Claim	3	For:~
a	DT	I-Claim	3	For:~
lots	NNS	I-Claim	3	For:~
of	IN	I-Claim	3	For:~
opportunities	NNS	I-Claim	3	For:~
for	IN	I-Claim	3	For:~
student	NN	I-Claim	3	For:~
concerned	VBN	I-Claim	3	For:~
in	IN	I-Claim	3	For:~
education	NN	I-Claim	3	For:~
.	.	I-Claim	3	For:~
# sent
Their	PRP$	O	~	~
old	JJ	I-Premise	4	supports:3
high	JJ	I-Premise	4	supports:3
school	NN	I-Premise	4	supports:3
is	VBZ	I-Premise	4	supports:3
pretty	RB	I-Premise	4	supports:3
