# paragraph 0
# sent
Big	JJ	O	~	~
city	NN	O	~	~
vs	CC	O	~	~
small	JJ	O	~	~
town	NN	O	~	~
# paragraph 1
# sent
I	PRP	B-MajorClaim	0	~
highly	RB	I-MajorClaim	0	~
prefer	VBP	I-MajorClaim	0	~
living	NN	I-MajorClaim	0	~
in	IN	I-MajorClaim	0	~
a	DT	I-MajorClaim	0	~
big	JJ	I-MajorClaim	0	~
city	NN	I-MajorClaim	0	~
to	TO	I-MajorClaim	0	~
living	VBG	I-MajorClaim	0	~
in	IN	I-MajorClaim	0	~
countryside	NN	I-MajorClaim	0	~
.	.	O	~	~
# sent
The	DT	B-Claim	1	For:~
big	JJ	I-Claim	1	For:~
cities	NNS	I-Claim	1	For:~
have	VBP	I-Claim	1	For:~
lots	NNS	I-Claim	1	For:~
of	IN	I-Claim	1	For:~
advantages	NNS	I-Claim	1	For:~
and	CC	I-Claim	1	For:~
facilities	NNS	I-Claim	1	For:~
over	IN	I-Claim	1	For:~
the	DT	I-Claim	1	For:~
small	JJ	I-Claim	1	For:~
towns	NNS	I-Claim	1	For:~
.	.	O	~	~
# sent
Where	WRB	B-Claim	2	For:~
a	DT	I-Claim	2	For:~
person	NN	I-Claim	2	For:~
lives	VBZ	I-Claim	2	For:~
and	CC	I-Claim	2	For:~
grow	VB	I-Claim	2	For:~
up	RP	I-Claim	2	For:~
is	VBZ	I-Claim	2	For:~
very	RB	I-Claim	2	For:~
important	JJ	I-Claim	2	For:~
to	TO	I-Claim	2	For:~
his	PRP$	I-Claim	2	For:~
future	JJ	I-Claim	2	For:~
life	NN	I-Claim	2	For:~
,	,	O	~	~
because	IN	O	~	~
the	DT	B-Premise	3	supports:2
environment	NN	I-Premise	3	supports:2
that	IN	I-Premise	3	supports:2
a	DT	I-Premise	3	supports:2
person	NN	I-Premise	3	supports:2
grow	VB	I-Premise	3	supports:2
up	RP	I-Premise	3	supports:2
,	,	I-Premise	3	supports:2
build	VB	I-Premise	3	supports:2
the	DT	I-Premise	3	supports:2
personality	NN	I-Premise	3	supports:2
and	CC	I-Premise	3	supports:2
his/her	NN	I-Premise	3	supports:2
culture	NN	I-Premise	3	supports:2
.	.	O	~	~
# paragraph 2
# sent
There	EX	B-Premise	4	supports:5
are	VBP	I-Premise	4	supports:5
lots	NNS	I-Premise	4	supports:5
of	IN	I-Premise	4	supports:5
social	JJ	I-Premise	4	supports:5
places	NNS	I-Premise	4	supports:5
in	IN	I-Premise	4	supports:5
big	JJ	I-Premise	4	supports:5
cities	NNS	I-Premise	4	supports:5
like	IN	I-Premise	4	supports:5
restaurants	NNS	I-Premise	4	supports:5
,	,	I-Premise	4	supports:5
museums	NNS	I-Premise	4	supports:5
,	,	I-Premise	4	supports:5
bars	NNS	I-Premise	4	supports:5
,	,	I-Premise	4	supports:5
sporting	VBG	I-Premise	4	supports:5
clubs	NNS	I-Premise	4	supports:5
,	,	I-Premise	4	supports:5
cinemas	NNS	I-Premise	4	supports:5
,	,	I-Premise	4	supports:5
theatre	NN	I-Premise	4	supports:5
and	CC	I-Premise	4	supports:5
etc.	NN	I-Premise	4	supports:5
.	.	B-Claim	5	For:~
# sent
People	NNS	I-Claim	5	For:~
in	IN	I-Claim	5	For:~
big	JJ	I-Claim	5	For:~
cities	NNS	I-Claim	5	For:~
have	VBP	I-Claim	5	For:~
many	JJ	I-Claim	5	For:~
options	NNS	I-Claim	5	For:~
to	TO	I-Claim	5	For:~
enjoy	VB	I-Claim	5	For:~
their	PRP$	I-Claim	5	For:~
life	NN	I-Claim	5	For:~
and	CC	I-Claim	5	For:~
spend	VB	I-Claim	5	For:~
their	PRP$	I-Claim	5	For:~
times	NNS	I-Claim	5	For:~
with	IN	I-Claim	5	For:~
their	PRP$	I-Claim	5	For:~
friends	NNS	I-Claim	5	For:~
in	IN	I-Claim	5	For:~
social	JJ	I-Claim	5	For:~
places	NNS	I-Claim	5	For:~
in	IN	I-Claim	5	For:~
contrary	JJ	I-Claim	5	For:~
to	TO	I-Claim	5	For:~
people	NNS	I-Claim	5	For:~
living	VBG	I-Claim	5	For:~
in	IN	I-Claim	5	For:~
small	JJ	I-Claim	5	For:~
towns	NNS	I-Claim	5	For:~
who	WP	I-Claim	5	For:~
have	VBP	I-Claim	5	For:~
few	JJ	I-Claim	5	For:~
choices	NNS	I-Claim	5	For:~
and	CC	I-Claim	5	For:~
at	IN	I-Claim	5	For:~
most	JJS	I-Claim	5	For:~
cases	NNS	I-Claim	5	For:~
one	CD	I-Claim	5	For:~
bar	NN	I-Claim	5	For:~
or	CC	I-Claim	5	For:~
one	CD	I-Claim	5	For:~
cinema	NN	I-Claim	5	For:~
