# paragraph 0
# sent
Which	WDT	O	~	~
do	VBP	O	~	~
you	PRP	O	~	~
prefer	VBP	O	~	~
:	:	O	~	~
do	VB	O	~	~
only	RB	O	~	~
what	WP	O	~	~
you	PRP	O	~	~
already	RB	O	~	~
do	VBP	O	~	~
well	RB	O	~	~
,	,	O	~	~
or	CC	O	~	~
not	RB	O	~	~
.	.	O	~	~
# paragraph 1
# sent
You	PRP	O	~	~
may	MD	O	~	~
love	VB	O	~	~
to	TO	O	~	~
try	VB	O	~	~
new	JJ	O	~	~
things	NNS	O	~	~
and	CC	O	~	~
take	VB	O	~	~
risks	NNS	O	~	~
even	RB	O	~	~
if	IN	O	~	~
you	PRP	O	~	~
are	VBP	O	~	~
n't	RB	O	~	~
good	JJ	O	~	~
at	IN	O	~	~
the	DT	O	~	~
things	NNS	O	~	~
.	.	O	~	~
# sent
That	DT	O	~	~
may	MD	O	~	~
help	VB	O	~	~
you	PRP	O	~	~
expand	VB	O	~	~
experiences	NNS	O	~	~
,	,	O	~	~
look	VB	O	~	~
for	IN	O	~	~
your	PRP$	O	~	~
personalities	NNS	O	~	~
and	CC	O	~	~
find	VB	O	~	~
your	PRP$	O	~	~
new	JJ	O	~	~
talents	NNS	O	~	~
.	.	O	~	~
# sent
This	DT	O	~	~
ideal	NN	O	~	~
,	,	O	~	~
however	RB	O	~	~
,	,	O	~	~
does	VBZ	O	~	~
n't	RB	O	~	~
necessarily	RB	O	~	~
be	VB	O	~	~
accomplished	VBN	O	~	~
.	.	O	~	~
# sent
If	IN	O	~	~
not	RB	O	~	~
,	,	O	~	~
you	PRP	O	~	~
might	MD	O	~	~
lose	VB	O	~	~
another	DT	O	~	~
chance	NN	O	~	~
that	IN	O	~	~
you	PRP	O	~	~
could	MD	O	~	~
use	VB	O	~	~
to	TO	O	~	~
accomplish	VB	O	~	~
other	JJ	O	~	~
things	NNS	O	~	~
.	.	O	~	~
# sent
So	RB	O	~	~
,	,	O	~	~
I	PRP	O	~	~
definitely	RB	O	~	~
believe	VBP	O	~	~
that	IN	O	~	~
you	PRP	B-MajorClaim	0	~
should	MD	I-MajorClaim	0	~
focus	VB	I-MajorClaim	0	~
on	IN	I-MajorClaim	0	~
what	WP	I-MajorClaim	0	~
you	PRP	I-MajorClaim	0	~
are	VBP	I-MajorClaim	0	~
good	JJ	I-MajorClaim	0	~
at	IN	I-MajorClaim	0	~
.	.	O	~	~
# paragraph 2
# sent
Focusing	VBG	B-Premise	1	supports:7
what	WP	I-Premise	1	supports:7
you	PRP	I-Premise	1	supports:7
are	VBP	I-Premise	1	supports:7
good	JJ	I-Premise	1	supports:7
at	IN	I-Premise	1	supports:7
helps	VBZ	I-Premise	1	supports:7
you	PRP	I-Premise	1	supports:7
attain	VB	I-Premise	1	supports:7
your	PRP$	I-Premise	1	supports:7
goal	NN	I-Premise	1	supports:7
.	.	O	~	~
# sent
Without	IN	O	~	~
doubt	NN	O	~	~
,	,	O	~	~
the	DT	B-Premise	2	supports:7
more	JJR	I-Premise	2	supports:7
time	NN	I-Premise	2	supports:7
you	PRP	I-Premise	2	supports:7
spend	VBP	I-Premise	2	supports:7
on	IN	I-Premise	2	supports:7
what	WP	I-Premise	2	supports:7
you	PRP	I-Premise	2	supports:7
do	VBP	I-Premise	2	supports:7
well	RB	I-Premise	2	supports:7
,	,	I-Premise	2	supports:7
the	DT	I-Premise	2	supports:7
more	RBR	I-Premise	2	supports:7
likely	JJ	I-Premise	2	supports:7
to	TO	I-Premise	2	supports:7
achieve	VB	I-Premise	2	supports:7
something	NN	I-Premise	2	supports:7
great	JJ	I-Premise	2	supports:7
you	PRP	I-Premise	2	supports:7
will	MD	I-Premise	2	supports:7
