# paragraph 0
# sent
University	NNP	O	~	~
education	NN	O	~	~
should	MD	O	~	~
be	VB	O	~	~
only	RB	O	~	~
available	JJ	O	~	~
for	IN	O	~	~
good	JJ	O	~	~
students	NNS	O	~	~
# paragraph 1
# sent
The	DT	O	~	~
purpose	NN	O	~	~
of	IN	O	~	~
education	NN	O	~	~
is	VBZ	O	~	~
always	RB	O	~	~
a	DT	O	~	~
controversial	JJ	O	~	~
topic	NN	O	~	~
among	IN	O	~	~
people	NNS	O	~	~
and	CC	O	~	~
society	NN	O	~	~
,	,	O	~	~
especially	RB	O	~	~
in	IN	O	~	~
high	JJ	O	~	~
level	NN	O	~	~
such	JJ	O	~	~
as	IN	O	~	~
college	NN	O	~	~
or	CC	O	~	~
university	NN	O	~	~
.	.	O	~	~
# sent
Some	DT	O	~	~
people	NNS	O	~	~
think	VBP	O	~	~
that	IN	O	~	~
all	DT	O	~	~
students	NNS	O	~	~
should	MD	O	~	~
deserve	VB	O	~	~
to	TO	O	~	~
be	VB	O	~	~
educated	VBN	O	~	~
at	IN	O	~	~
this	DT	O	~	~
level	NN	O	~	~
.	.	O	~	~
# sent
However	RB	O	~	~
,	,	O	~	~
in	IN	O	~	~
my	PRP$	O	~	~
opinion	NN	O	~	~
,	,	O	~	~
it	PRP	B-MajorClaim	0	~
should	MD	I-MajorClaim	0	~
be	VB	I-MajorClaim	0	~
better	JJR	I-MajorClaim	0	~
to	TO	I-MajorClaim	0	~
leave	VB	I-MajorClaim	0	~
this	DT	I-MajorClaim	0	~
type	NN	I-MajorClaim	0	~
of	IN	I-MajorClaim	0	~
type	NN	I-MajorClaim	0	~
of	IN	I-MajorClaim	0	~
training	NN	I-MajorClaim	0	~
for	IN	I-MajorClaim	0	~
a	DT	I-MajorClaim	0	~
certain	JJ	I-MajorClaim	0	~
group	NN	I-MajorClaim	0	~
of	IN	I-MajorClaim	0	~
good	JJ	I-MajorClaim	0	~
,	,	I-MajorClaim	0	~
knowledgeable	JJ	I-MajorClaim	0	~
learners	NNS	I-MajorClaim	0	~
.	.	O	~	~
# paragraph 2
# sent
First	RB	O	~	~
,	,	O	~	~
focusing	VBG	B-Claim	1	For:~
only	RB	I-Claim	1	For:~
on	IN	I-Claim	1	For:~
talented	JJ	I-Claim	1	For:~
students	NNS	I-Claim	1	For:~
is	VBZ	I-Claim	1	For:~
a	DT	I-Claim	1	For:~
better	JJR	I-Claim	1	For:~
option	NN	I-Claim	1	For:~
because	IN	O	~	~
it	PRP	B-Premise	2	supports:1
helps	VBZ	I-Premise	2	supports:1
academic	JJ	I-Premise	2	supports:1
institutions	NNS	I-Premise	2	supports:1
maintain	VBP	I-Premise	2	supports:1
their	PRP$	I-Premise	2	supports:1
high	JJ	I-Premise	2	supports:1
education	NN	I-Premise	2	supports:1
quality	NN	I-Premise	2	supports:1
.	.	O	~	~
# sent
Unlike	IN	B-Premise	3	supports:1
middle	JJ	I-Premise	3	supports:1
school	NN	I-Premise	3	supports:1
or	CC	I-Premise	3	supports:1
high	JJ	I-Premise	3	supports:1
school	NN	I-Premise	3	supports:1
,	,	I-Premise	3	supports:1
university	NN	I-Premise	3	supports:1
and	CC	I-Premise	3	supports:1
college	NN	I-Premise	3	supports:1
require	VBP	I-Premise	3	supports:1
far	RB	I-Premise	3	supports:1
a	DT	I-Premise	3	supports:1
lot	NN	I-Premise	3	supports:1
of	IN	I-Premise	3	supports:1
ability	NN	I-Premise	3	supports:1
and	CC	I-Premise	3	supports:1
skills	NNS	I-Premise	3	supports:1
to	TO	I-Premise	3	supports:1
keep	VB	I-Premise	3	supports:1
up	RP	I-Premise	3	supports:1
with	IN	I-Premise	3	supports:1
an	DT	I-Premise	3	supports:1
enormous	JJ	I-Premise	3	supports:1
amount	NN	I-Premise	3	supports:1
of	IN	I-Premise	3	supports:1
complex	JJ	I-Premise	3	supports:1
knowledge	NN	I-Premise	3	supports:1
.	.	O	~	~
# sent
In	IN	O	~	~
fact	NN	O	~	~
,	,	O	~	~
some	DT	B-Premise	4	supports:1
students	NNS	I-Premise	4	supports:1
may	MD	I-Premise	4	supports:1
be	VB	I-Premise	4	supports:1
capable	JJ	I-Premise	4	supports:1
in	IN	I-Premise	4	supports:1
high	JJ	I-Premise	4	supports:1
schools	NNS	I-Premise	4	supports:1
,	,	I-Premise	4	supports:1
but	CC	I-Premise	4	supports:1
the	DT	I-Premise	4	supports:1
pressure	NN	I-Premise	4	supports:1
of	IN	I-Premise	4	supports:1
higher	JJR	I-Premise	4	supports:1
education	NN	I-Premise	4	supports:1
is	VBZ	I-Premise	4	supports:1
tough	JJ	I-Premise	4	supports:1
even	RB	I-Premise	4	supports:1
for	IN	I-Premise	4	supports:1
talented	JJ	I-Premise	4	supports:1
ones	NNS	I-Premise	4	supports:1
.	.	O	~	~
# sent
That	DT	B-Premise	5	supports:1
explains	VBZ	I-Premise	5	supports:1
why	WRB	I-Premise	5	supports:1
it	PRP	I-Premise	5	supports:1
is	VBZ	I-Premise	5	supports:1
only	RB	I-Premise	5	supports:1
suitable	JJ	I-Premise	5	supports:1
for	IN	I-Premise	5	supports:1
a	DT	I-Premise	5	supports:1
limited	JJ	I-Premise	5	supports:1
people	NNS	I-Premise	5	supports:1
,	,	I-Premise	5	supports:1
and	CC	I-Premise	5	supports:1
opening	VBG	I-Premise	5	supports:1
up	RP	I-Premise	5	supports:1
for	IN	I-Premise	5	supports:1
everyone	NN	I-Premise	5	supports:1
will	MD	I-Premise	5	supports:1
be	VB	I-Premise	5	supports:1
fatal	JJ	I-Premise	5	supports:1
for	IN	I-Premise	5	supports:1
institutions	NNS	I-Premise	5	supports:1
,	,	O	~	~
since	IN	O	~	~
they	PRP	B-Premise	6	supports:5
need	VBP	I-Premise	6	supports:5
to	TO	I-Premise	6	supports:5
somehow	RB	I-Premise	6	supports:5
lower	VB	I-Premise	6	supports:5
the	DT	I-Premise	6	supports:5
materials	NNS	I-Premise	6	supports:5
so	IN	I-Premise	6	supports:5
that	IN	I-Premise	6	supports:5
it	PRP	I-Premise	6	supports:5
is	VBZ	I-Premise	6	supports:5
practical	JJ	I-Premise	6	supports:5
for	IN	I-Premise	6	supports:5
everyone	NN	I-Premise	6	supports:5
.	.	O	~	~
# paragraph 3
# sent
Secondly	RB	O	~	~
,	,	O	~	~
university	NN	B-Claim	7	For:~
should	MD	I-Claim	7	For:~
only	RB	I-Claim	7	For:~
accept	VB	I-Claim	7	For:~
good	JJ	I-Claim	7	For:~
students	NNS	I-Claim	7	For:~
because	IN	O	~	~
it	PRP	B-Premise	8	supports:7
gives	VBZ	I-Premise	8	supports:7
better	JJR	I-Premise	8	supports:7
human	JJ	I-Premise	8	supports:7
resources	NNS	I-Premise	8	supports:7
for	IN	I-Premise	8	supports:7
sophisticated	JJ	I-Premise	8	supports:7
purposes	NNS	I-Premise	8	supports:7
.	.	O	~	~
# sent
Some	DT	O	~	~
people	NNS	O	~	~
argue	VBP	O	~	~
that	IN	O	~	~
this	DT	B-Premise	9	attacks:7
may	MD	I-Premise	9	attacks:7
lead	VB	I-Premise	9	attacks:7
to	TO	I-Premise	9	attacks:7
`	``	I-Premise	9	attacks:7
social	JJ	I-Premise	9	attacks:7
division	NN	I-Premise	9	attacks:7
'	''	I-Premise	9	attacks:7
,	,	I-Premise	9	attacks:7
when	WRB	I-Premise	9	attacks:7
someone	NN	I-Premise	9	attacks:7
with	IN	I-Premise	9	attacks:7
high	JJ	I-Premise	9	attacks:7
education	NN	I-Premise	9	attacks:7
refuses	VBZ	I-Premise	9	attacks:7
to	TO	I-Premise	9	attacks:7
do	VB	I-Premise	9	attacks:7
the	DT	I-Premise	9	attacks:7
called	VBN	I-Premise	9	attacks:7
`	``	I-Premise	9	attacks:7
low	JJ	I-Premise	9	attacks:7
jobs	NNS	I-Premise	9	attacks:7
'	POS	I-Premise	9	attacks:7
,	,	O	~	~
but	CC	O	~	~
actually	RB	O	~	~
it	PRP	B-Premise	10	attacks:9
gives	VBZ	I-Premise	10	attacks:9
no	DT	I-Premise	10	attacks:9
harm	NN	I-Premise	10	attacks:9
to	TO	I-Premise	10	attacks:9
the	DT	I-Premise	10	attacks:9
whole	JJ	I-Premise	10	attacks:9
community	NN	I-Premise	10	attacks:9
.	.	O	~	~
# sent
Those	DT	B-Premise	11	attacks:9
standard	JJ	I-Premise	11	attacks:9
jobs	NNS	I-Premise	11	attacks:9
will	MD	I-Premise	11	attacks:9
always	RB	I-Premise	11	attacks:9
be	VB	I-Premise	11	attacks:9
available	JJ	I-Premise	11	attacks:9
for	IN	I-Premise	11	attacks:9
everyone	NN	I-Premise	11	attacks:9
,	,	I-Premise	11	attacks:9
while	IN	I-Premise	11	attacks:9
complex	JJ	I-Premise	11	attacks:9
ones	NNS	I-Premise	11	attacks:9
should	MD	I-Premise	11	attacks:9
be	VB	I-Premise	11	attacks:9
only	RB	I-Premise	11	attacks:9
handled	VBN	I-Premise	11	attacks:9
by	IN	I-Premise	11	attacks:9
the	DT	I-Premise	11	attacks:9
best	JJS	I-Premise	11	attacks:9
people	NNS	I-Premise	11	attacks:9
,	,	I-Premise	11	attacks:9
who	WP	I-Premise	11	attacks:9
start	VBP	I-Premise	11	attacks:9
their	PRP$	I-Premise	11	attacks:9
career	NN	I-Premise	11	attacks:9
from	IN	I-Premise	11	attacks:9
the	DT	I-Premise	11	attacks:9
best	JJS	I-Premise	11	attacks:9
institutions	NNS	I-Premise	11	attacks:9
.	.	O	~	~
# sent
I	PRP	O	~	~
think	VBP	O	~	~
limiting	VBG	B-Premise	12	supports:7
the	DT	I-Premise	12	supports:7
number	NN	I-Premise	12	supports:7
of	IN	I-Premise	12	supports:7
people	NNS	I-Premise	12	supports:7
who	WP	I-Premise	12	supports:7
can	MD	I-Premise	12	supports:7
