# paragraph 0
# sent
Live	JJ	O	~	~
football	NN	O	~	~
game	NN	O	~	~
at	IN	O	~	~
a	DT	O	~	~
stadium	NN	O	~	~
# paragraph 1
# sent
Have	VBP	O	~	~
you	PRP	O	~	~
ever	RB	O	~	~
traveled	VBD	O	~	~
along	IN	O	~	~
to	TO	O	~	~
support	VB	O	~	~
your	PRP$	O	~	~
home	NN	O	~	~
football	NN	O	~	~
team	NN	O	~	~
during	IN	O	~	~
tournaments	NNS	O	~	~
?	.	O	~	~
# sent
Have	VBP	O	~	~
you	PRP	O	~	~
attended	VBD	O	~	~
at	IN	O	~	~
a	DT	O	~	~
stadium	NN	O	~	~
to	TO	O	~	~
watch	VB	O	~	~
your	PRP$	O	~	~
team	NN	O	~	~
's	POS	O	~	~
match	NN	O	~	~
,	,	O	~	~
yell	VB	O	~	~
or	CC	O	~	~
even	RB	O	~	~
cry	VB	O	~	~
with	IN	O	~	~
the	DT	O	~	~
team	NN	O	~	~
and	CC	O	~	~
their	PRP$	O	~	~
thousands	NNS	O	~	~
of	IN	O	~	~
fans	NNS	O	~	~
there	RB	O	~	~
?	.	O	~	~
# sent
If	IN	O	~	~
you	PRP	O	~	~
have	VBP	O	~	~
a	DT	O	~	~
great	JJ	O	~	~
love	NN	O	~	~
with	IN	O	~	~
football	NN	O	~	~
and	CC	O	~	~
your	PRP$	O	~	~
home	NN	O	~	~
team	NN	O	~	~
,	,	O	~	~
it	PRP	B-MajorClaim	0	~
is	VBZ	I-MajorClaim	0	~
much	RB	I-MajorClaim	0	~
more	RBR	I-MajorClaim	0	~
gratifying	JJ	I-MajorClaim	0	~
to	TO	I-MajorClaim	0	~
stay	VB	I-MajorClaim	0	~
side	NN	I-MajorClaim	0	~
by	IN	I-MajorClaim	0	~
side	NN	I-MajorClaim	0	~
and	CC	I-MajorClaim	0	~
cheer	VB	I-MajorClaim	0	~
up	RP	I-MajorClaim	0	~
the	DT	I-MajorClaim	0	~
team	NN	I-MajorClaim	0	~
at	IN	I-MajorClaim	0	~
the	DT	I-MajorClaim	0	~
stadium	NN	I-MajorClaim	0	~
rather	RB	I-MajorClaim	0	~
than	IN	I-MajorClaim	0	~
just	RB	I-MajorClaim	0	~
to	TO	I-MajorClaim	0	~
stay	VB	I-MajorClaim	0	~
at	IN	I-MajorClaim	0	~
home	NN	I-MajorClaim	0	~
and	CC	I-MajorClaim	0	~
watch	VB	I-MajorClaim	0	~
the	DT	I-MajorClaim	0	~
match	NN	I-MajorClaim	0	~
alone	RB	I-MajorClaim	0	~
.	.	O	~	~
# paragraph 2
# sent
First	RB	O	~	~
,	,	O	~	~
attending	VBG	B-Claim	1	For:~
a	DT	I-Claim	1	For:~
