# paragraph 0
# sent
Learning	NNP	O	~	~
facts	NNS	O	~	~
has	VBZ	O	~	~
more	JJR	O	~	~
subsequent	JJ	O	~	~
advantages	NNS	O	~	~
for	IN	O	~	~
students	NNS	O	~	~
'	POS	O	~	~
future	JJ	O	~	~
lives	NNS	O	~	~
# paragraph 1
# sent
There	EX	O	~	~
are	VBP	O	~	~
many	JJ	O	~	~
debates	NNS	O	~	~
regarding	VBG	O	~	~
whether	IN	O	~	~
understanding	VBG	O	~	~
ideas	NNS	O	~	~
and	CC	O	~	~
concepts	NNS	O	~	~
is	VBZ	O	~	~
more	RBR	O	~	~
essential	JJ	O	~	~
than	IN	O	~	~
learning	VBG	O	~	~
facts	NNS	O	~	~
for	IN	O	~	~
students	NNS	O	~	~
or	CC	O	~	~
not	RB	O	~	~
.	.	O	~	~
# sent
Although	IN	O	~	~
multitudes	NNS	O	~	~
of	IN	O	~	~
people	NNS	O	~	~
think	VBP	O	~	~
that	IN	O	~	~
knowledge	NN	O	~	~
of	IN	O	~	~
ideas	NNS	O	~	~
and	CC	O	~	~
concepts	NNS	O	~	~
is	VBZ	O	~	~
more	RBR	O	~	~
vital	JJ	O	~	~
for	IN	O	~	~
students	NNS	O	~	~
,	,	O	~	~
I	PRP	O	~	~
am	VBP	O	~	~
in	IN	O	~	~
the	DT	O	~	~
conviction	NN	O	~	~
that	IN	O	~	~
learning	VBG	B-MajorClaim	0	~
facts	NNS	I-MajorClaim	0	~
has	VBZ	I-MajorClaim	0	~
more	JJR	I-MajorClaim	0	~
subsequent	JJ	I-MajorClaim	0	~
advantages	NNS	I-MajorClaim	0	~
for	IN	I-MajorClaim	0	~
students	NNS	I-MajorClaim	0	~
'	POS	I-MajorClaim	0	~
future	JJ	I-MajorClaim	0	~
lives	NNS	I-MajorClaim	0	~
.	.	O	~	~
# sent
In	IN	O	~	~
the	DT	O	~	~
following	VBG	O	~	~
,	,	O	~	~
I	PRP	O	~	~
will	MD	O	~	~
state	VB	O	~	~
my	PRP$	O	~	~
reasons	NNS	O	~	~
for	IN	O	~	~
this	DT	O	~	~
choice	NN	O	~	~
.	.	O	~	~
# paragraph 2
# sent
First	RB	O	~	~
,	,	O	~	~
when	WRB	B-Premise	1	supports:3
students	NNS	I-Premise	1	supports:3
learn	VBP	I-Premise	1	supports:3
facts	NNS	I-Premise	1	supports:3
more	RBR	I-Premise	1	supports:3
in	IN	I-Premise	1	supports:3
school	NN	I-Premise	1	supports:3
,	,	I-Premise	1	supports:3
they	PRP	I-Premise	1	supports:3
would	MD	I-Premise	1	supports:3
be	VB	I-Premise	1	supports:3
ready	JJ	I-Premise	1	supports:3
for	IN	I-Premise	1	supports:3
facing	VBG	I-Premise	1	supports:3
problems	NNS	I-Premise	1	supports:3
in	IN	I-Premise	1	supports:3
their	PRP$	I-Premise	1	supports:3
own	JJ	I-Premise	1	supports:3
life	NN	I-Premise	1	supports:3
after	IN	I-Premise	1	supports:3
their	PRP$	I-Premise	1	supports:3
graduations	NNS	I-Premise	1	supports:3
.	.	O	~	~
# sent
As	IN	O	~	~
a	DT	O	~	~
case	NN	O	~	~
in	IN	O	~	~
point	NN	O	~	~
,	,	O	~	~
more	JJR	B-Premise	2	supports:3
information	NN	I-Premise	2	supports:3
about	IN	I-Premise	2	supports:3
facts	NNS	I-Premise	2	supports:3
would	MD	I-Premise	2	supports:3
make	VB	I-Premise	2	supports:3
students	NNS	I-Premise	2	supports:3
more	RBR	I-Premise	2	supports:3
familiar	JJ	I-Premise	2	supports:3
with	IN	I-Premise	2	supports:3
the	DT	I-Premise	2	supports:3
real	JJ	I-Premise	2	supports:3
life	NN	I-Premise	2	supports:3
other	JJ	I-Premise	2	supports:3
that	IN	I-Premise	2	supports:3
only	RB	I-Premise	2	supports:3
their	PRP$	I-Premise	2	supports:3
concepts	NNS	I-Premise	2	supports:3
.	.	O	~	~
# sent
As	IN	O	~	~
a	DT	O	~	~
result	NN	O	~	~
,	,	O	~	~
they	PRP	B-Claim	3	For:~
would	MD	I-Claim	3	For:~
prepare	VB	I-Claim	3	For:~
to	TO	I-Claim	3	For:~
encounter	VB	I-Claim	3	For:~
their	PRP$	I-Claim	3	For:~
life	NN	I-Claim	3	For:~
out	IN	I-Claim	3	For:~
of	IN	I-Claim	3	For:~
school	NN	I-Claim	3	For:~
to	TO	I-Claim	3	For:~
solve	VB	I-Claim	3	For:~
their	PRP$	I-Claim	3	For:~
problems	NNS	I-Claim	3	For:~
better	RBR	I-Claim	3	For:~
.	.	O	~	~
# paragraph 3
# sent
Second	RB	O	~	~
,	,	O	~	~
it	PRP	B-Claim	4	For:~
would	MD	I-Claim	4	For:~
improve	VB	I-Claim	4	For:~
students	NNS	I-Claim	4	For:~
'	POS	I-Claim	4	For:~
social	JJ	I-Claim	4	For:~
behavior	NN	I-Claim	4	For:~
.	.	O	~	~
# sent
If	IN	B-Premise	5	supports:4
students	NNS	I-Premise	5	supports:4
only	RB	I-Premise	5	supports:4
rely	VBP	I-Premise	5	supports:4
on	IN	I-Premise	5	supports:4
concepts	NNS	I-Premise	5	supports:4
and	CC	I-Premise	5	supports:4
ideas	NNS	I-Premise	5	supports:4
theorically	RB	I-Premise	5	supports:4
,	,	I-Premise	5	supports:4
they	PRP	I-Premise	5	supports:4
would	MD	I-Premise	5	supports:4
not	RB	I-Premise	5	supports:4
realize	VB	I-Premise	5	supports:4
human	JJ	I-Premise	5	supports:4
's	POS	I-Premise	5	supports:4
mind	NN	I-Premise	5	supports:4
very	RB	I-Premise	5	supports:4
well	RB	I-Premise	5	supports:4
.	.	O	~	~
# sent
They	PRP	B-Premise	6	supports:7
should	MD	I-Premise	6	supports:7
understand	VB	I-Premise	6	supports:7
objects	NNS	I-Premise	6	supports:7
more	RBR	I-Premise	6	supports:7
that	IN	I-Premise	6	supports:7
concepts	NNS	I-Premise	6	supports:7
to	TO	I-Premise	6	supports:7
obtain	VB	I-Premise	6	supports:7
the	DT	I-Premise	6	supports:7
ability	NN	I-Premise	6	supports:7
of	IN	I-Premise	6	supports:7
analyzing	VBG	I-Premise	6	supports:7
matters	NNS	I-Premise	6	supports:7
well	RB	I-Premise	6	supports:7
.	.	O	~	~
# sent
Thus	RB	O	~	~
,	,	O	~	~
if	IN	B-Premise	7	supports:4
they	PRP	I-Premise	7	supports:4
deal	VBP	I-Premise	7	supports:4
more	RBR	I-Premise	7	supports:4
with	IN	I-Premise	7	supports:4
facts	NNS	I-Premise	7	supports:4
,	,	I-Premise	7	supports:4
they	PRP	I-Premise	7	supports:4
can	MD	I-Premise	7	supports:4
realize	VB	I-Premise	7	supports:4
social	JJ	I-Premise	7	supports:4
situations	NNS	I-Premise	7	supports:4
effectively	RB	I-Premise	7	supports:4
and	CC	I-Premise	7	supports:4
so	RB	I-Premise	7	supports:4
improve	VB	I-Premise	7	supports:4
their	PRP$	I-Premise	7	supports:4
social	JJ	I-Premise	7	supports:4
communication	NN	I-Premise	7	supports:4
in	IN	I-Premise	7	supports:4
everyday	JJ	I-Premise	7	supports:4
life	NN	I-Premise	7	supports:4
.	.	O	~	~
# paragraph 4
# sent
Moreover	RB	O	~	~
,	,	O	~	~
these	DT	B-Premise	8	supports:9
way	NN	I-Premise	8	supports:9
students	NNS	I-Premise	8	supports:9
are	VBP	I-Premise	8	supports:9
teached	VBN	I-Premise	8	supports:9
to	TO	I-Premise	8	supports:9
control	VB	I-Premise	8	supports:9
their	PRP$	I-Premise	8	supports:9
fears	NNS	I-Premise	8	supports:9
and	CC	I-Premise	8	supports:9
concerns	NNS	I-Premise	8	supports:9
in	IN	I-Premise	8	supports:9
facing	VBG	I-Premise	8	supports:9
facts	NNS	I-Premise	8	supports:9
.	.	O	~	~
# sent
As	IN	O	~	~
a	DT	O	~	~
matter	NN	O	~	~
of	IN	O	~	~
fact	NN	O	~	~
,	,	O	~	~
when	WRB	B-Claim	9	For:~
a	DT	I-Claim	9	For:~
student	NN	I-Claim	9	For:~
understands	VBZ	I-Claim	9	For:~
a	DT	I-Claim	9	For:~
fact	NN	I-Claim	9	For:~
and	CC	I-Claim	9	For:~
its	PRP$	I-Claim	9	For:~
consequences	NNS	I-Claim	9	For:~
,	,	I-Claim	9	For:~
he	PRP	I-Claim	9	For:~
or	CC	I-Claim	9	For:~
she	PRP	I-Claim	9	For:~
can	MD	I-Claim	9	For:~
encounter	VB	I-Claim	9	For:~
it	PRP	I-Claim	9	For:~
more	RBR	I-Claim	9	For:~
confidently	RB	I-Claim	9	For:~
.	.	O	~	~
# sent
In	IN	O	~	~
my	PRP$	O	~	~
viewpoint	NN	O	~	~
,	,	O	~	~
concerns	NNS	B-Premise	10	supports:9
and	CC	I-Premise	10	supports:9
anxieties	NNS	I-Premise	10	supports:9
are	VBP	I-Premise	10	supports:9
very	RB	I-Premise	10	supports:9
destructive	JJ	I-Premise	10	supports:9
in	IN	I-Premise	10	supports:9
everybody	NN	I-Premise	10	supports:9
's	POS	I-Premise	10	supports:9
life	NN	I-Premise	10	supports:9
.	.	O	~	~
# sent
It	PRP	B-Premise	11	supports:9
can	MD	I-Premise	11	supports:9
prevent	VB	I-Premise	11	supports:9
person	NN	I-Premise	11	supports:9
to	TO	I-Premise	11	supports:9
progress	VB	I-Premise	11	supports:9
and	CC	I-Premise	11	supports:9
thrive	VB	I-Premise	11	supports:9
in	IN	I-Premise	11	supports:9
every	DT	I-Premise	11	supports:9
position	NN	I-Premise	11	supports:9
.	.	O	~	~
# paragraph 5
# sent
All	DT	O	~	~
in	IN	O	~	~
all	DT	O	~	~
,	,	O	~	~
I	PRP	O	~	~
am	VBP	O	~	~
in	IN	O	~	~
