# paragraph 0
# sent
Part	NNP	O	~	~
time	NN	O	~	~
job	NN	O	~	~
for	IN	O	~	~
teenage	JJ	O	~	~
students	NNS	O	~	~
# paragraph 1
# sent
When	WRB	O	~	~
we	PRP	O	~	~
talk	VBP	O	~	~
about	IN	O	~	~
student	NN	O	~	~
,	,	O	~	~
we	PRP	O	~	~
generally	RB	O	~	~
mean	VBP	O	~	~
a	DT	O	~	~
boy	NN	O	~	~
or	CC	O	~	~
a	DT	O	~	~
girl	NN	O	~	~
who	WP	O	~	~
study	VBP	O	~	~
in	IN	O	~	~
school	NN	O	~	~
or	CC	O	~	~
college	NN	O	~	~
.	.	O	~	~
# sent
In	IN	O	~	~
some	DT	O	~	~
country	NN	O	~	~
,	,	O	~	~
teenage	JJ	O	~	~
students	NNS	O	~	~
have	VBP	O	~	~
the	DT	O	~	~
opportunity	NN	O	~	~
to	TO	O	~	~
do	VB	O	~	~
some	DT	O	~	~
part	NN	O	~	~
time	NN	O	~	~
job	NN	O	~	~
beside	IN	O	~	~
their	PRP$	O	~	~
study	NN	O	~	~
.	.	O	~	~
# sent
However	RB	O	~	~
,	,	O	~	~
some	DT	O	~	~
people	NNS	O	~	~
do	VBP	O	~	~
not	RB	O	~	~
support	VB	O	~	~
the	DT	O	~	~
concept	NN	O	~	~
of	IN	O	~	~
teenagers	NNS	O	~	~
doing	VBG	O	~	~
job	NN	O	~	~
beside	IN	O	~	~
study	NN	O	~	~
.	.	O	~	~
# sent
In	IN	O	~	~
my	PRP$	O	~	~
view	NN	O	~	~
,	,	O	~	~
it	PRP	B-MajorClaim	0	~
is	VBZ	I-MajorClaim	0	~
good	JJ	I-MajorClaim	0	~
for	IN	I-MajorClaim	0	~
a	DT	I-MajorClaim	0	~
teenager	NN	I-MajorClaim	0	~
to	TO	I-MajorClaim	0	~
do	VB	I-MajorClaim	0	~
a	DT	I-MajorClaim	0	~
part	NN	I-MajorClaim	0	~
time	NN	I-MajorClaim	0	~
job	NN	I-MajorClaim	0	~
while	IN	I-MajorClaim	0	~
he/she	NN	I-MajorClaim	0	~
is	VBZ	I-MajorClaim	0	~
still	RB	I-MajorClaim	0	~
a	DT	I-MajorClaim	0	~
student	NN	I-MajorClaim	0	~
and	CC	O	~	~
this	DT	O	~	~
is	VBZ	O	~	~
for	IN	O	~	~
two	CD	O	~	~
reasons	NNS	O	~	~
.	.	O	~	~
# paragraph 2
# sent
The	DT	O	~	~
main	JJ	O	~	~
reason	NN	O	~	~
is	VBZ	O	~	~
that	IN	O	~	~
students	NNS	B-Claim	1	For:~
can	MD	I-Claim	1	For:~
learn	VB	I-Claim	1	For:~
lots	NNS	I-Claim	1	For:~
of	IN	I-Claim	1	For:~
things	NNS	I-Claim	1	For:~
from	IN	I-Claim	1	For:~
part	NN	I-Claim	1	For:~
time	NN	I-Claim	1	For:~
job	NN	I-Claim	1	For:~
,	,	I-Claim	1	For:~
before	IN	I-Claim	1	For:~
starting	VBG	I-Claim	1	For:~
their	PRP$	I-Claim	1	For:~
real	JJ	I-Claim	1	For:~
job	NN	I-Claim	1	For:~
.	.	O	~	~
# sent
Students	NNS	B-Premise	2	supports:1
can	MD	I-Premise	2	supports:1
learn	VB	I-Premise	2	supports:1
about	IN	I-Premise	2	supports:1
time	NN	I-Premise	2	supports:1
management	NN	I-Premise	2	supports:1
,	,	I-Premise	2	supports:1
money	NN	I-Premise	2	supports:1
management	NN	I-Premise	2	supports:1
and	CC	I-Premise	2	supports:1
convince	VB	I-Premise	2	supports:1
people	NNS	I-Premise	2	supports:1
by	IN	I-Premise	2	supports:1
their	PRP$	I-Premise	2	supports:1
words	NNS	I-Premise	2	supports:1
.	.	O	~	~
# sent
For	IN	O	~	~
example	NN	O	~	~
,	,	O	~	~
when	WRB	B-Premise	3	supports:1
I	PRP	I-Premise	3	supports:1
was	VBD	I-Premise	3	supports:1
in	IN	I-Premise	3	supports:1
my	PRP$	I-Premise	3	supports:1
high	JJ	I-Premise	3	supports:1
school	NN	I-Premise	3	supports:1
I	PRP	I-Premise	3	supports:1
worked	VBD	I-Premise	3	supports:1
as	IN	I-Premise	3	supports:1
a	DT	I-Premise	3	supports:1
sales-man	NN	I-Premise	3	supports:1
in	IN	I-Premise	3	supports:1
a	DT	I-Premise	3	supports:1
shop	NN	I-Premise	3	supports:1
for	IN	I-Premise	3	supports:1
a	DT	I-Premise	3	supports:1
year	NN	I-Premise	3	supports:1
.	.	O	~	~
# sent
As	IN	B-Premise	4	supports:5
i	FW	I-Premise	4	supports:5
had	VBD	I-Premise	4	supports:5
to	TO	I-Premise	4	supports:5
spend	VB	I-Premise	4	supports:5
some	DT	I-Premise	4	supports:5
of	IN	I-Premise	4	supports:5
my	PRP$	I-Premise	4	supports:5
time	NN	I-Premise	4	supports:5
in	IN	I-Premise	4	supports:5
my	PRP$	I-Premise	4	supports:5
job	NN	I-Premise	4	supports:5
,	,	O	~	~
therefore	RB	O	~	~
,	,	O	~	~
i	FW	B-Premise	5	supports:3
had	VBD	I-Premise	5	supports:3
to	TO	I-Premise	5	supports:3
manage	VB	I-Premise	5	supports:3
my	PRP$	I-Premise	5	supports:3
time	NN	I-Premise	5	supports:3
efficiently	RB	I-Premise	5	supports:3
.	.	O	~	~
# sent
I	PRP	B-Premise	6	supports:3
had	VBD	I-Premise	6	supports:3
to	TO	I-Premise	6	supports:3
manage	VB	I-Premise	6	supports:3
my	PRP$	I-Premise	6	supports:3
boss	NN	I-Premise	6	supports:3
as	RB	I-Premise	6	supports:3
well	RB	I-Premise	6	supports:3
as	IN	I-Premise	6	supports:3
had	VBN	I-Premise	6	supports:3
to	TO	I-Premise	6	supports:3
prepare	VB	I-Premise	6	supports:3
my	PRP$	I-Premise	6	supports:3
homework	NN	I-Premise	6	supports:3
.	.	O	~	~
# sent
This	DT	B-Premise	7	supports:5
taught	VBD	I-Premise	7	supports:5
me	PRP	I-Premise	7	supports:5
how	WRB	I-Premise	7	supports:5
to	TO	I-Premise	7	supports:5
manage	VB	I-Premise	7	supports:5
time	NN	I-Premise	7	supports:5
efficiently	RB	I-Premise	7	supports:5
and	CC	I-Premise	7	supports:5
do	VB	I-Premise	7	supports:5
any	DT	I-Premise	7	supports:5
job	NN	I-Premise	7	supports:5
quickly	RB	I-Premise	7	supports:5
and	CC	I-Premise	7	supports:5
effectively	RB	I-Premise	7	supports:5
.	.	O	~	~
# sent
Moreover	RB	O	~	~
,	,	O	~	~
I	PRP	B-Premise	8	supports:3
learn	VBP	I-Premise	8	supports:3
money	NN	I-Premise	8	supports:3
management	NN	I-Premise	8	supports:3
.	.	O	~	~
# sent
When	WRB	B-Premise	9	supports:8
my	PRP$	I-Premise	9	supports:8
boss	NN	I-Premise	9	supports:8
was	VBD	I-Premise	9	supports:8
out	IN	I-Premise	9	supports:8
of	IN	I-Premise	9	supports:8
the	DT	I-Premise	9	supports:8
shop	NN	I-Premise	9	supports:8
,	,	I-Premise	9	supports:8
i	FW	I-Premise	9	supports:8
had	VBD	I-Premise	9	supports:8
to	TO	I-Premise	9	supports:8
manage	VB	I-Premise	9	supports:8
the	DT	I-Premise	9	supports:8
accounts	NNS	I-Premise	9	supports:8
section	NN	I-Premise	9	supports:8
of	IN	I-Premise	9	supports:8
the	DT	I-Premise	9	supports:8
shop	NN	I-Premise	9	supports:8
.	.	O	~	~
# sent
From	IN	B-Premise	10	supports:3
this	DT	I-Premise	10	supports:3
i	FW	I-Premise	10	supports:3
learned	VBN	I-Premise	10	supports:3
,	,	I-Premise	10	supports:3
how	WRB	I-Premise	10	supports:3
to	TO	I-Premise	10	supports:3
manage	VB	I-Premise	10	supports:3
money	NN	I-Premise	10	supports:3
correctly	RB	I-Premise	10	supports:3
.	.	O	~	~
# sent
This	DT	B-Premise	11	supports:3
experience	NN	I-Premise	11	supports:3
taught	VBD	I-Premise	11	supports:3
me	PRP	I-Premise	11	supports:3
,	,	I-Premise	11	supports:3
doing	VBG	I-Premise	11	supports:3
part	NN	I-Premise	11	supports:3
time	NN	I-Premise	11	supports:3
job	NN	I-Premise	11	supports:3
can	MD	I-Premise	11	supports:3
help	VB	I-Premise	11	supports:3
students	NNS	I-Premise	11	supports:3
to	TO	I-Premise	11	supports:3
learn	VB	I-Premise	11	supports:3
